Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
92254211,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
92254462,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
92254720,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
92254969,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
92255227,00000596,false,Rx,0,8,A9,80,00,00,5B,00,17,18,
92255487,00000597,false,Rx,0,8,81,E6,00,00,00,00,00,00,
92255746,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
92256006,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
92256275,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
92256545,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
92256785,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
92257043,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
92257292,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,95,CC,
92257553,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
92257802,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
92353165,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
92353422,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
92353681,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
92353950,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
92354210,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
92354459,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
92354718,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
92354968,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
92355225,00000596,false,Rx,0,8,15,80,00,00,5B,00,17,18,
92355485,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
92355745,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
92356014,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
92356283,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
92356544,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
92356792,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
92357041,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
92357291,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,A9,31,
92357551,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
